24 мар. 2026 23:27:41,342  INFO ServiceLogger - Recalculate table stats 1 of 135: Profiler_profileObject started
24 мар. 2026 23:27:41,441  INFO ServiceLogger - Recalculate table stats 1 of 135: Profiler_profileObject finished, 99ms
24 мар. 2026 23:27:41,442  INFO ServiceLogger - Recalculate table stats 2 of 135: I18n_dictionary started
24 мар. 2026 23:27:41,762  INFO ServiceLogger - Recalculate table stats 2 of 135: I18n_dictionary finished, 320ms
24 мар. 2026 23:27:41,766  INFO ServiceLogger - Recalculate table stats 3 of 135: SystemEvents_exception started
24 мар. 2026 23:27:42,407  INFO ServiceLogger - Recalculate table stats 3 of 135: SystemEvents_exception finished, 641ms
24 мар. 2026 23:27:42,411  INFO ServiceLogger - Recalculate table stats 4 of 135: Email_encryptedConnectionTypeStatus started
24 мар. 2026 23:27:42,489  INFO ServiceLogger - Recalculate table stats 4 of 135: Email_encryptedConnectionTypeStatus finished, 78ms
24 мар. 2026 23:27:42,491  INFO ServiceLogger - Recalculate table stats 5 of 135: _auto_I18n_MultiLanguageNamed started
24 мар. 2026 23:27:42,550  INFO ServiceLogger - Recalculate table stats 5 of 135: _auto_I18n_MultiLanguageNamed finished, 59ms
24 мар. 2026 23:27:42,552  INFO ServiceLogger - Recalculate table stats 6 of 135: Scheduler_scheduledTaskScheduledTaskLog started
24 мар. 2026 23:27:42,614  INFO ServiceLogger - Recalculate table stats 6 of 135: Scheduler_scheduledTaskScheduledTaskLog finished, 62ms
24 мар. 2026 23:27:42,616  INFO ServiceLogger - Recalculate table stats 7 of 135: _auto_Profiler_ProfilerIndex started
24 мар. 2026 23:27:42,667  INFO ServiceLogger - Recalculate table stats 7 of 135: _auto_Profiler_ProfilerIndex finished, 51ms
24 мар. 2026 23:27:42,669  INFO ServiceLogger - Recalculate table stats 8 of 135: Reflection_formPropertyDraw started
24 мар. 2026 23:27:42,726  INFO ServiceLogger - Recalculate table stats 8 of 135: Reflection_formPropertyDraw finished, 57ms
24 мар. 2026 23:27:42,729  INFO ServiceLogger - Recalculate table stats 9 of 135: Reflection_dropColumn started
24 мар. 2026 23:27:42,920  INFO ServiceLogger - Recalculate table stats 9 of 135: Reflection_dropColumn finished, 191ms
24 мар. 2026 23:27:42,922  INFO ServiceLogger - Recalculate table stats 10 of 135: Scheduler_scheduledClientTaskLog started
24 мар. 2026 23:27:43,100  INFO ServiceLogger - Recalculate table stats 10 of 135: Scheduler_scheduledClientTaskLog finished, 178ms
24 мар. 2026 23:27:43,101  INFO ServiceLogger - Recalculate table stats 11 of 135: _auto_System_ListViewType started
24 мар. 2026 23:27:43,168  INFO ServiceLogger - Recalculate table stats 11 of 135: _auto_System_ListViewType finished, 67ms
24 мар. 2026 23:27:43,169  INFO ServiceLogger - Recalculate table stats 12 of 135: Security_memoryLimit started
24 мар. 2026 23:27:43,288  INFO ServiceLogger - Recalculate table stats 12 of 135: Security_memoryLimit finished, 119ms
24 мар. 2026 23:27:43,290  INFO ServiceLogger - Recalculate table stats 13 of 135: _auto_Time_DateTimeIntervalPickerRanges started
24 мар. 2026 23:27:43,328  INFO ServiceLogger - Recalculate table stats 13 of 135: _auto_Time_DateTimeIntervalPickerRanges finished, 38ms
24 мар. 2026 23:27:43,330  INFO ServiceLogger - Recalculate table stats 14 of 135: _auto_Authentication_CustomUser_Time_DateTimePickerRanges started
24 мар. 2026 23:27:43,385  INFO ServiceLogger - Recalculate table stats 14 of 135: _auto_Authentication_CustomUser_Time_DateTimePickerRanges finished, 55ms
24 мар. 2026 23:27:43,386  INFO ServiceLogger - Recalculate table stats 15 of 135: _auto_Authentication_DesignEnv started
24 мар. 2026 23:27:43,671  INFO ServiceLogger - Recalculate table stats 15 of 135: _auto_Authentication_DesignEnv finished, 285ms
24 мар. 2026 23:27:43,672  INFO ServiceLogger - Recalculate table stats 16 of 135: Service_DBType started
24 мар. 2026 23:27:43,731  INFO ServiceLogger - Recalculate table stats 16 of 135: Service_DBType finished, 59ms
24 мар. 2026 23:27:43,733  INFO ServiceLogger - Recalculate table stats 17 of 135: Reflection_form started
24 мар. 2026 23:27:43,904  INFO ServiceLogger - Recalculate table stats 17 of 135: Reflection_form finished, 171ms
24 мар. 2026 23:27:43,905  INFO ServiceLogger - Recalculate table stats 18 of 135: _auto_Security_Permission started
24 мар. 2026 23:27:43,950  INFO ServiceLogger - Recalculate table stats 18 of 135: _auto_Security_Permission finished, 45ms
24 мар. 2026 23:27:43,952  INFO ServiceLogger - Recalculate table stats 19 of 135: Chat_chatCustomUser started
24 мар. 2026 23:27:44,042  INFO ServiceLogger - Recalculate table stats 19 of 135: Chat_chatCustomUser finished, 90ms
24 мар. 2026 23:27:44,045  INFO ServiceLogger - Recalculate table stats 20 of 135: _auto_Schedule_Schedule started
24 мар. 2026 23:27:44,137  INFO ServiceLogger - Recalculate table stats 20 of 135: _auto_Schedule_Schedule finished, 92ms
24 мар. 2026 23:27:44,139  INFO ServiceLogger - Recalculate table stats 21 of 135: _auto_ProcessMonitor_ProcessType started
24 мар. 2026 23:27:44,217  INFO ServiceLogger - Recalculate table stats 21 of 135: _auto_ProcessMonitor_ProcessType finished, 78ms
24 мар. 2026 23:27:44,219  INFO ServiceLogger - Recalculate table stats 22 of 135: _auto started
24 мар. 2026 23:27:46,755  INFO ServiceLogger - Recalculate table stats 22 of 135: _auto finished, 2536ms
24 мар. 2026 23:27:46,758  INFO ServiceLogger - Recalculate table stats 23 of 135: Scheduler_schedulerStartType started
